source_message_id,chatid,target_message_id,text,Instrument name,Entry price 1,Entry price 2,Entry price 3,Entry price 4,Entry price 5,Take profit price 1,Take profit price 2,Take profit price 3,Take profit price 4,Take profit price 5,Stop loss price,Order Type
72,'5492592958',54,'g',,,,,,,,,,,,,
1858,'5492592958',1781,'XAUUSD sell now @ 1900 tp @ 1891 tp2 @ 1880  SL @ 1905',XAUUSD,1900,,,,,1891,1880,,,,1905,Sell now
5582,'5492592958',3848,'SCALP TRADE   XAUUSD buy limit @ 1895 tp @ 1901 tp 2 @2 1908  Sl @ 1892 [ 30 PIPS ]',XAUUSD,1895,,,,,1901,1908,,,,1892,Buy limit
5584,'5492592958',3850,'USOIL buy now @ 80.00 tp @ 80.80 tp 2 @ 82.30  Sl @ 79.50',USOIL,80.00,,,,,80.80,82.30,,,,79.50,Buy now
5585,'5492592958',3851,'EURAUD sell limit @ 1.70100 tp 2 @ 1.69200 tp 2 @ 1.67800  SL @ 1.70450 [ 35 PIPS ]',EURAUD,1.70100,,,,,1.69200,1.67800,,,,1.70450,Sell limit
5587,'5492592958',3852,'XAUUSD scalp trade   Sell now @ 1900.80 tp @ 1896 tp2 @ 1892  Sl @ 1904',XAUUSD,1900.80,,,,,1896,1892,,,,1904,Sell now
5588,'5492592958',3853,'XAUUSD long term scenario  tp @ 1893  tp 2 @ 1882',XAUUSD,,,,,,1893,1882,,,,,
8176,'5492592958',4454,'XAUUSD SELL NOW  @ 1900.5  TP : 1895 TP : 1890  SL : 1905',XAUUSD,1900.5,,,,,1895,1890,,,,1905,Sell now
5589,'5492592958',3854,'AUDCAD sell limit @ 0.87360 tp @ 0.86700 tp 2 @ 0.85800  Sl @ 0.87680',AUDCAD,0.87360,,,,,0.86700,0.85800,,,,0.87680,Sell limit
5591,'5492592958',3856,'XAUUSD buy limits delete for now !',XAUUSD,,,,,,,,,,,,Buy limit
8179,'5492592958',4456,'AUDCAD SELL LIMIT   @ 0.87360  TP : 0.8698 TP : 0.86277  SL : 0.87680',AUDCAD,0.87360,,,,,0.8698,0.86277,,,,0.87680,Sell limit
5595,'5492592958',3860,'NZDHCF sell limit @ 0.52470 tp @ 0.52070 tp 2 @ 0.51600  SL @ 0.52600 [ 13 PIPS ]',,0.52470,,,,,0.52070,0.51600,,,,0.52600,Sell limit
5596,'5492592958',3861,'Activation missed enter manual',,,,,,,,,,,,,
8184,'5492592958',4461,'NZDHCF SELL LIMIT   @ 0.52470  TP : 0.52104 TP : 0.5170  SL : 0.52600',,0.52470,,,,,0.52104,0.5170,,,,0.52600,Sell limit
1861,'5492592958',1784,'US30 sell limit @ 34570 tp @ 34315 tp2 @ 33990  SL @ 34710',US30,34570,,,,,34315,33990,,,,34710,Sell limit
8185,'5492592958',4462,'US30 SELL LIMIT    @ 34570  TP : 34325 TP : 34000  SL : 34715',US30,34570,,,,,34325,34000,,,,34715,Sell limit
1863,'5492592958',1786,'XAUUSD close full in 70+ pips',XAUUSD,,,,,,,,,,,,
5599,'5492592958',3864,'XAUUSD buy valid',XAUUSD,,,,,,,,,,,,Buy
8189,'5492592958',4465,'XAUUSD BUY LIMIT   @ 1895 - 1894  TP : 1901 TP : 1908  Sl : 1890',XAUUSD,1895,1894,,,,1901,1908,,,,1890,Buy limit
1864,'5492592958',1787,'GBPJPY sell limit @ 186.35 tp @ 185.46 tp2 @ 184.10  sl @ 186.83',GBPJPY,186.35,,,,,185.46,184.10,,,,186.83,Sell limit
1865,'5492592958',1788,'GBPNZD sell limit @ 2.1480 tp @ 2.1342 tp2 @ 2.1091  SL @ 2.1550',GBPNZD,2.1480,,,,,2.1342,2.1091,,,,2.1550,Sell limit
8190,'5492592958',4466,'Take one buy now Direct',,,,,,,,,,,,,Buy now
8192,'5492592958',4468,'GBPJPY SELL LIMIT    @ 186.35  TP : 185.46 TP : 184.10  SL : 186.83',GBPJPY,186.35,,,,,185.46,184.10,,,,186.83,Sell limit
8193,'5492592958',4469,'GBPNZD SELL LIMIT    @ 2.1480  TP : 2.1342 TP : 2.1091  SL : 2.1550',GBPNZD,2.1480,,,,,2.1342,2.1091,,,,2.1550,Sell limit
1867,'5492592958',1790,'XAUUSD sell limit @ 1898.8 tp @ 1890 tp2 @ 1880  SL @ 1904',XAUUSD,1898.8,,,,,1890,1880,,,,1904,Sell limit
8195,'5492592958',4471,'Close Buy in Profit now',,,,,,,,,,,,,Buy
8196,'5492592958',4472,'XAUUSD SELL LIMIT   @ 1898.8  TP : 1890 TP : 1880  SL : 1904',XAUUSD,1898.8,,,,,1890,1880,,,,1904,Sell limit
8197,'5492592958',4473,'Delete',,,,,,,,,,,,,
8201,'5492592958',4474,'Take 1 direct buy now small lot I tell u when to close buy Trade',,,,,,,,,,,,,Buy now
8202,'5492592958',4475,'SET SL : 1887',,,,,,,,,,,,1887,
1868,'5492592958',1791,'Invalid now',,,,,,,,,,,,,
8208,'5492592958',4478,'TP : 1896.50 TP : 1903',,,,,,,1896.50,1903,,,,,
5605,'5492592958',3870,'i did not post this trade here because of some reasons but see the results',,,,,,,,,,,,,
5606,'5492592958',3871,'XAUUSD buys if anyone Entered stop hunt -30 pips ,XAUUSD,,,,,,,,,,,,Buy
5607,'5492592958',3872,'XAUUSD sell limit @ 1898  other limit @ 1901  tp @ 1888 tp 2 @ 1874   SL @ 1904',XAUUSD,1898,1901,,,,1888,1874,,,,1904,Sell limit
5609,'5492592958',3874,'This trade still Valid to enter now again',,,,,,,,,,,,,
5610,'5492592958',3875,'Limit also valid for now',,,,,,,,,,,,,
5611,'5492592958',3876,'NZDCAD sell now @ 0.80560 tp @ 0.80160 tp 2 @ 0.79630  sL @ 0.80780',NZDCAD,0.80560,,,,,0.80160,0.79630,,,,0.80780,Sell now
1870,'5492592958',1793,'XAUUSD sell limit @ 1901.3 tp @ 1895 tp2 @ 1887.5  SL @ 1905',XAUUSD,1901.3,,,,,1895,1887.5,,,,1905,Sell limit
8217,'5492592958',4485,'XAUUSD SELL LIMIT   @ 1901.3  TP : 1895 TP : 1888  SL : 1905.5',XAUUSD,1901.3,,,,,1895,1888,,,,1905.5,Sell limit
1871,'5492592958',1794,'GBPAUD sell limit @ 1.9880 tp @ 1.9776 tp2 @ 1.9610  SL @ 1.9932',GBPAUD,1.9880,,,,,1.9776,1.9610,,,,1.9932,Sell limit
8218,'5492592958',4486,'GBPAUD SELL LIMIT    @ 1.9880  TP : 1.9776 TP : 1.9610  SL : 1.9932',GBPAUD,1.9880,,,,,1.9776,1.9610,,,,1.9932,Sell limit
5617,'5492592958',3882,'GBPAUD sell limit @ 1.98900 tp @ 1.97400 tp 2 @  1.95200  sl @ 1.99300',GBPAUD,1.98900,,,,,1.97400,1.95200,,,,1.99300,Sell limit
5618,'5492592958',3883,'Take one direct sell  Due to market manipulation',,,,,,,,,,,,,Sell
1872,'5492592958',1797,'volatility 25 index buy now @ 2150.20 tp @ 2186.16 tp2@ 2216.10 sl @ 2128.0',volatility 25 index,25,2150.20,,,,2186.16,2216.10,,,,2128.0,Buy now
1873,'5492592958',1798,'EURNZD sell now @ 1.8265 tp @ 1.8190 tp2 @ 1.8105  SL @ 1.8315',EURNZD,1.8265,,,,,1.8190,1.8105,,,,1.8315,Sell now
8219,'5492592958',4489,'EURNZD SELL NOW',EURNZD,,,,,,,,,,,,Sell now
1874,'5492592958',1799,'NAS100 sell limit @ 15012 tp @ 14870 tp2 @ 14715  SL @ 15090',NAS100,15012,,,,,14870,14715,,,,15090,Sell limit
8220,'5492592958',4490,'EURNZD SELL NOW   @ 1.8269  TP : 1.8205 TP : 1.8110  SL : 1.8315',EURNZD,1.8269,,,,,1.8205,1.8110,,,,1.8315,Sell now
8221,'5492592958',4491,'NAS100 SELL LIMIT    @ 15012  TP : 14900 TP : 14750  SL : 15090',NAS100,15012,,,,,14900,14750,,,,15090,Sell limit
5622,'5492592958',3889,'We was have 2 trades in CADJPY but i am counted only 1  2nd extra pips will be gift for you guys',CADJPY,,,,,,,,,,,,
5623,'5492592958',3890,'XAUUSD recovery trade   Sell now @ 1903.50 Tp @ 1895 Tp2 @ 1882  Sl @ 1910',XAUUSD,1903.50,,,,,1895,1882,,,,1910,Sell now
5625,'5492592958',3892,'Exit at entry',,,,,,,,,,,,,
1877,'5492592958',1802,'GBPAUD invalid',GBPAUD,,,,,,,,,,,,
1878,'5492592958',1803,'GBPNZD invalid',GBPNZD,,,,,,,,,,,,
1879,'5492592958',1804,'GBPJPY invalid',GBPJPY,,,,,,,,,,,,
8230,'5492592958',4500,'Delete Pending Order',,,,,,,,,,,,,
8231,'5492592958',4501,'Delete Pending Order',,,,,,,,,,,,,
8232,'5492592958',4502,'Delete Pending Order',,,,,,,,,,,,,
5628,'5492592958',3895,'Just updating for them if anyone have this trade ,,,,,,,,,,,,,
5631,'5492592958',3898,'EURGBP Buy limit @ 0.85190 tp @ 0.85900 tp 2 @ 0.87000  SL @ 0.84900',EURGBP,0.85190,,,,,0.85900,0.87000,,,,0.84900,Buy limit
8233,'5492592958',4503,'XAUUSD NEXT MOVE POSSIBLE',XAUUSD,,,,,,,,,,,,
5634,'5492592958',3900,'NZDUSD',NZDUSD,,,,,,,,,,,,
1882,'5492592958',1807,'NZDCAD buy limit @ 0.8040 tp @ 0.8067 tp2 @ 0.8110  SL @ 0.802713 pips)',NZDCAD,0.8040,,,,,0.8067,0.8110,,,,0.802713,Buy limit
1883,'5492592958',1808,'USDCAD possible',USDCAD,,,,,,,,,,,,
1884,'5492592958',1809,'no confirmation yet',,,,,,,,,,,,,
8235,'5492592958',4505,'NZDCAD BUY LIMIT    @ 0.8040  TP : 0.8065 TP : 0.8100  SL : 0.8025',NZDCAD,0.8040,,,,,0.8065,0.8100,,,,0.8025,Buy limit
8237,'5492592958',4507,'I was thinking to Close this trade and find any good opportunity during news   Wait',,,,,,,,,,,,,
5637,'5492592958',3902,'NZDCAD buy limit @ 0.80400 tp @ 0.80750 tp 2 @ 0.81220  Sl @ 0.80200 [ 20 PIPS ]',NZDCAD,0.80400,,,,,0.80750,0.81220,,,,0.80200,Buy limit
5638,'5492592958',3903,'XAUUSD set sell limit at @ 1908   Sl @ 1915 for all',XAUUSD,1908,,,,,,,,,,1915,Sell limit
1886,'5492592958',1811,'XAUUSD sl set 1909   It will fall soon',XAUUSD,,,,,,,,,,,1909,
8240,'5492592958',4510,'XAUUSD SELL LIMIT   @ 1908   TP : LATER)  SL : 1915',XAUUSD,1908,,,,,sl,,,,,1915,Sell limit
5639,'5492592958',3904,'Active',,,,,,,,,,,,,
5640,'5492592958',3905,'100K TFT Passed phase 1',,,,,,,,,,,,,
5641,'5492592958',3906,'Sorry gold trade is active',GOLD,,,,,,,,,,,,
8243,'5492592958',4513,'XAUUSD BUY ZONE    @ 1895 to 1890   TP : 1900 TP : 1905 TP : 1910 TP : open   SL : 1885',XAUUSD,1895,1890,,,,1900,1905,1910,open,,1885,Buy
1887,'5492592958',1812,'XAUUSD sell 1917 Sl @ 1923  Tp @ open',XAUUSD,1917,,,,,open,,,,,1923,Sell
8246,'5492592958',4516,'XAUUSD sell   1917  Sl : 1923  Tp @ open',XAUUSD,1917,,,,,open,,,,,1923,Sell
8248,'5492592958',4518,'Hope for Good Move it will again give us 50-60 pips profit Soon Inshallah',,5060,,,,,,,,,,,
12091,'5492592958',383,'Add 20 pip  to stop loss  until this retest end',,20,,,,,,,,,,,
12092,'5492592958',384,'Near from tp',,,,,,,,,,,,,
12093,'5492592958',385,'For who closed it with { -  U can sell from now price',,,,,,,,,,,,,Sell
5647,'5492592958',3912,'XAUUSD sell now @ 1919 Tp @ 1910 Tp2 @ 1900  Sl @ 1924',XAUUSD,1919,,,,,1910,1900,,,,1924,Sell now
8255,'5492592958',4523,'XAUUSD SELL NOW  @ 1920  SL : 1927  TP : 1914 TP : 1908',XAUUSD,1920,,,,,1914,1908,,,,1927,Sell now
5650,'5492592958',3915,'Re_enter from @1921.50 Sl safely set at @ 1927',,1921.50,,,,,,,,,,1927,
1888,'5492592958',1813,'Tp1 @ 1912 Tp2 @ 1900',,,,,,,1912,1900,,,,,
5651,'5492592958',3916,'USDCAD buy now @ 1.35200 Tp @ 1.35600 Tp2 @ 1.36200  Sl @ 1.34950',USDCAD,1.35200,,,,,1.35600,1.36200,,,,1.34950,Buy now
1889,'5492592958',1814,'I am holding NZDCAD',NZDCAD,,,,,,,,,,,,
5653,'5492592958',3918,'Am out of Home for now',,,,,,,,,,,,,
1890,'5492592958',1815,'USDCAD buy now @ 1.3539 tp @ 1.3577 tp2 @ 1.3625  SL @ 1.352316 pips)',USDCAD,1.3539,,,,,1.3577,1.3625,,,,1.352316,Buy now
8257,'5492592958',4524,'USDCAD BUY NOW    @ 1.3539  TP : 1.3577 TP : 1.3625  SL : 1.3523',USDCAD,1.3539,,,,,1.3577,1.3625,,,,1.3523,Buy now
8258,'5492592958',4525,'US30 BUY NOW  @ 34445 - 34435  SL : 34410',US30,34445,34435,,,,,,,,,34410,Buy now
8259,'5492592958',4526,'XAUUSD Buy Limit   @ 1916 to 1914   TP : 1920 TP : 1925 TP : Open Hold  SL : 1909',XAUUSD,1916,1914,,,,1920,1925,open,,,1909,Buy limit
8260,'5492592958',4527,'XAUUSD NEXT MOVE POSSIBLE',XAUUSD,,,,,,,,,,,,
8261,'5492592958',4528,'Use Only Small Risk Today',,,,,,,,,,,,,
